#"Calibrated Arclamps Observed with NIRSPEC (R=25,000):  0.95 - 2.62 microns",,,,,,,,
#,,,,,,,,
#Wavelength (A in vac),Arc Lamp,Counts (0.25sx15),Line ID Reference, ,Echelle Order,,Broadband Filter,
18389.85,Ne,4730,NIST,,,,,
18394.96,Ne,6870,NIST,,,,,
18407.86,Ne,3350,NIST,,,,,
18427.43,Ne,6550,NIST,,,,,
18463.68,Ne,2800,NIST,,,,,
18480.84,Ne,8100,NIST,,,,,
18585.96,Kr,15300,NIST,,,,,
18596.62,Ne,21200,NIST,,,,,
18602.78,Ne,29500,NIST,,,,,
18687.34,Ne,400,NIST,,,,,
18701.41,Kr,30800,NIST,,,,,
18790.61,Kr,8050,NIST,,Order 40,,,
18792.86,Kr,8600,NIST,,,,,
18802.84,Kr,12500,NIST,,,,,
18942.72,Ne,320,NIST,,,,,
19579.09,Ne,1130,NIST,,,Order 39,,
19582.46,Ne,3330,NIST,,,,,
19777.86,Ne,200,NIST,,,,,
19822.92,Ar,3550,U Kentucky,,Order 38,,,
19950.9,Ar,1000,U Kentucky,,,,,
19971.18,Ar,7900,ISAAC List,,,,,
20031.14,Ar,990,U Kentucky,,,,,
20035.57,Ar,570,ISAAC List,,,,,
20074.41,Ar,570,ISAAC List,,,,,
20192.71,Xe,2500,NIST,,,,,
20215.41,Kr,9600,NIST,,,,,
20267.77,Xe,56600,NIST,,,,,
20287.97,Xe,390,NIST,,,,,
20322.56,Ar,1800,ISAAC List,,,Order 37,,
20355.77,Ne,1720,NIST,,,,,
20359.40,Ne,360,NIST,,,,,
20424.6,Kr,16800,NIST,,,,,
20447.28,Ne,2620,U Kentucky,,,,,
20559.4,Ar,400,U Kentucky,,,,,
20621.86,Ar,49000,NIST,,,,,
20652.77,Ar,1440,U Kentucky,,,,,
20739.22,Ar,900,ISAAC List,,,,,
20816.72,Ar,650,U Kentucky,,,,,
20848.41,Xe,280,NIST,,,,,
20857.62,Xe,280,NIST,,,,,
20881.37,Kr,700,"Outred, M. J.Phys. Chem Ref. Data, Vol. 7, No. 1 1978",,Order 36,,,
20930.15,Kr,1380,NIST,,,,,
20982.06,Kr,350,"Outred, M. J.Phys. Chem Ref. Data, Vol. 7, No. 1 1978",,,,,
20991.84,Ar,30200,NIST,,,,,
21027.10,Kr,450,"Outred, M. J.Phys. Chem Ref. Data, Vol. 7, No. 1 1978",,,,,
21041.57,Ar,350,U Kentucky,,,,,
21047.01,Ne,8480,NIST,,,,,
21171.30,Kr,52200,NIST,,,,,
